Level,METHOD,Ciliate,Diatom,Dinoflagellata,Flagellate,Other,MEAN_MRAE
FG,CC,0.19865,0.27223,0.57997,0.04603,0.40162,0.29970
AC,CC,0.20384,0.20300,0.62226,0.04110,0.44892,0.30382
OC,CC,0.36760,0.22686,0.62809,0.03919,0.40210,0.33277
FG,ACC,0.32028,0.22324,0.87358,0.06143,0.52410,0.40052
AC,ACC,0.40156,0.29486,0.87082,0.05320,0.56103,0.43629
OC,ACC,0.49163,0.31766,0.94999,0.05737,0.50834,0.46500
FG,PCC,0.31639,0.45651,1.02134,0.06356,0.57443,0.48645
AC,PCC,0.26096,0.31684,0.99484,0.05244,0.59089,0.44319
OC,PCC,0.65676,0.40772,1.21848,0.05415,0.56252,0.57993
FG,PACC,0.35339,0.34466,1.20154,0.08956,0.68076,0.53398
AC,PACC,0.38108,0.37070,1.14698,0.07351,0.71392,0.53724
OC,PACC,0.61794,0.43639,1.25615,0.08041,0.65218,0.60861
FG,EMQ,0.31138,0.41680,4.60730,0.16938,0.98710,1.29839
AC,EMQ,0.72331,4.61189,4.54496,0.34187,1.84278,2.41296
OC,EMQ,7.03947,10.04935,10.89751,0.79893,2.50885,6.25882
FG,DMy,0.27248,0.29581,1.04800,0.06369,0.57594,0.45119
AC,DMy,0.94442,0.54373,3.21161,0.09239,0.69635,1.09770
OC,DMy,0.98780,1.07537,6.64709,0.12745,0.76650,1.92084
